message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0102
msg_091,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0238
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_048,mute,scam,The message demands an upfront payment or token amount before anything is delivered.,0.86,message_0151
msg_040,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0136;message_0135
msg_075,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0206
msg_005,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0065
msg_104,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0224
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0193;message_0177
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.85,message_0173
msg_070,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0173
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0031
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.80,message_0227
msg_008,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0296
msg_092,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0345
msg_060,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0284
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0245
msg_030,mute,forward,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0115
msg_045,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0146
msg_052,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0207
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.80,message_0074
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.80,message_0197
msg_016,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0024
msg_065,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0261
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0131;message_0132
msg_086,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0222
msg_014,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0017
msg_094,mute,spam,The message is unsolicited bulk marketing from an account the user has no relationship with.,0.82,message_0356
msg_029,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.84,message_0113
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0233;message_0373
msg_002,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0169
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0011
msg_078,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.81,message_0211
msg_013,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0081;message_0082
msg_018,mute,scam,The message claims an unexpected prize or selection to pull the user into a fraudulent claim.,0.84,message_0091
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.81,message_0143
msg_032,digest,personal,The message is safe casual chat with no urgent action required.,0.80,message_0119
msg_106,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.87,message_0234
msg_006,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0029
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.85,message_0151
msg_108,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.85,message_0094
msg_019,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0094
msg_088,mute,forward,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0115
msg_056,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.87,message_0168
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0272
msg_050,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0279
